Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
GER:Gross enrolment ratio,GPI:Gender parity index,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:GPI:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.00690,1.00766,1.01179,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
NARA:Adjusted net attendance rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:PT:L1:_T:_T:UNDER1_AGE:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,73.49191,,,,,
NAR:Net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,93.92173,,,,,
SCH:School,PT:Percentage,L2_3:Secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,COMP_PP:Computers for pedagogical purposes,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L2_3:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:COMP_PP:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,99.14407,99.35236,
STU:Students,PT:Percentage,L2:Lower secondary education,C4:General programmes,_T:Total,GE2_OVER_AGE:At least 2 years over age,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PT:L2:C4:_T:GE2_OVER_AGE:_T:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,2.09427,1.93159,1.64812,1.52323,1.38505,1.26404,
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
CR:Completion rate,PT:Percentage,L2:Lower secondary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
FOSEP:Distribution of students in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F01:Education,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSEP:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F01:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,5.43810,6.97475,8.40545,
NART:Total net attendance rate,GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SR:Survival rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SR:PT:L2:C4:F:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.87532,99.76233,88.37071,98.48964,99.46657,,
REPR:Repetition rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,REPR:PT:L2:C4:M:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.00308,0.00574,0.00471,0.02455,0.00553,,
NAR:Net attendance rate,GLPIA:Adjusted location parity index,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GLPIA:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
QTEACH:Qualified teachers,PER:Number of persons,L01:Early childhood educational development programmes,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,QTEACH:PER:L01:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,,NaN,NaN,
CR:Completion rate,GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:Q1:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.00467,,,,,
CR:Completion rate,GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
NARA:Adjusted net attendance rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:GPIA:L1:_T:_T:UNDER1_AGE:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.81421,,,,,
NART:Total net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,97.77385,,,,,
STU:Students,PER:Number of persons,L2:Lower secondary education,_T:Total,F:Female,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2:_T:F:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,967672,936414,928285,834194,831199,849529,
NERA:Adjusted net enrolment rate,GPI:Gender parity index,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NERA:GPI:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.00793,1.00877,1.01281,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,LV:Latvia,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:LV:W00:_Z:UA,0,0,30,18,11,19,
STU:Students,PER:Number of persons,L4:Post-secondary non-tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L4:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,,,,,,
GAR:Gross attendance ratio,WPIA:Adjusted wealth parity index,L5T8:Tertiary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:WPIA:L5T8:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SAP:School-age population,PER:Number of persons,_T:Total,_T:Total,M:Male,Y12T14:12-14 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:_T:_T:M:Y12T14:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,647788,624022,606731,,,,
CR:Completion rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,M:Male,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GLPIA:L1:_T:M:_T:GLAST:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L1:Primary education,_T:Total,M:Male,_T:Total,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L1:_T:M:_T:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,206772,219543,230346,209660,222716,217692,
CR:Completion rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
PTR:Pupil-teacher ratio,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,PTR:PER:L5T8:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,12.08223,11.28811,11.01798,10.53581,10.37309,10.43823,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L2:Lower secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.50533,,,,,
NAR:Net attendance rate,GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.94653,,,,,
TEP:Distribution of students in tertiary education by ISCED level,PT:Percentage,L7:Master?s or equivalent level,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEP:PT:L7:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,21.92089,23.69403,21.03608,20.61642,24.17508,
NARA:Adjusted net attendance rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:GPIA:L1:_T:_T:UNDER1_AGE:_T:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.16939,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.89099,,,,,
GAR:Gross attendance ratio,GLPIA:Adjusted location parity index,L5T8:Tertiary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:GLPIA:L5T8:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.66292,,,,,
ECDP:Percentage of new entrants to Grade 1 of primary education with early childhood education experience,PT:Percentage,L1:Primary education,_T:Total,_T:Total,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ECDP:PT:L1:_T:_T:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,74.64317,78.35134,,80.47128,88.57326,,
CR:Completion rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,98.37032,,,,,
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,96.35218,,,,,
FREE_EDU:Free education,YR:Years,L2_3:Secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FREE_EDU:YR:L2_3:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,7,7,7,7,7,,
ROFST:Rate of out-of-school children,PT:Percentage,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,6.12212,5.73918,7.23195,,,,
NARA:Adjusted net attendance rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,87.42743,,,,,
LR:Literacy rate,PT:Percentage,_Z:Not applicable,_Z:Not applicable,M:Male,Y_GE15:15 years and over,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,LR:PT:_Z:_Z:M:Y_GE15:_Z:_Z:_Z:_Z:_T:_Z:_Z:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.99394,,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GLPIA:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.82540,,,,,
TEACH:Teachers,PER:Number of persons,L01:Early childhood educational development programmes,_T:Total,M:Male,_T:Total,_T:Total,INST_PUB:Public institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L01:_T:M:_T:_T:INST_PUB:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,,NaN,NaN,
NART:Total net attendance rate,GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GLPIA:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.01126,,,,,
FOSGP:Distribution of graduates in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_X:Unspecified,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSGP:PT:L5T8:_T:M:_T:_T:INST_T:_Z:_Z:_T:_T:_X:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,4.34013,,,4.58906,1.84093,2.60994,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
